run_index,n_cases,successes,success_rate,mean_time_s,median_time_s,max_time_s
1,11,6,0.5454545454545454,126.5463172305714,56.293081760406494,564.1058077812195
2,9,7,0.7777777777777778,143.71385516060724,79.66599798202515,606.6266939640045
3,8,7,0.875,96.45309308171272,86.40308547019958,190.65733313560486
4,8,7,0.875,100.96226739883423,74.61514508724213,338.4441361427307
5,8,5,0.625,123.37432235479355,105.91627335548401,329.23546385765076
6,8,7,0.875,97.3582007586956,98.93061363697052,173.09588098526
7,8,5,0.625,122.39111223816872,118.11294746398926,244.09098291397095
8,8,7,0.875,87.7712542116642,65.43309795856476,307.9674451351166
9,8,5,0.625,87.63631919026375,74.58262658119202,180.49277591705322
10,8,6,0.75,98.10225120186806,63.07318556308746,274.19157004356384
